compound,persistence_status,evidence_design,substrate,self_maintaining,known_mechanism_class,basis,caveat,source
fluoxetine,plasticity_gated,preclinical_only,plasticity_window,no,SSRI_serotonergic,"reopens adult critical-period plasticity + BDNF/TrkB (iPlasticity); a PERMISSIVE window - durable change is contingent on paired experience, not a standalone boost; rodent / supra-clinical; no human cognitive-enhancement persistence shown",unproven in humans; conditional on training,"Maya-Vetencourt 2008 Science; Steinzeig 2019 Eur J Neurosci; Castren"
duloxetine,symptomatic,class_extrapolation,transient,no,SNRI,"SNRI antidepressant routed to catecholaminergic by an aryloxypropanamine scaffold, but its mechanism is SNRI not stimulant; symptomatic and reversible",L0 structural-route artifact corrected,"pharmacology"
selegiline,contested,longitudinal_followup,transient,no,MAO_B,"MAO-B inhibitor; DATATOP and Sano 1997 were NOT delayed-start designs (DATATOP time-to-levodopa is confounded by selegiline's own symptomatic effect - the exact confound delayed-start was invented to remove), so the neuroprotection claim rests on weaker evidence than rasagiline; no durable cognitive enhancement established",neuroprotection unproven; NOT a delayed-start design,"Sano 1997 NEJM; DATATOP"
rasagiline,contested,delayed_start_rct,transient,no,MAO_B,"MAO-B inhibitor; ADAGIO delayed-start: 1 mg/day met all three endpoints but 2 mg/day did not (dose-inconsistent); endpoints were motor (UPDRS), cognition was a tiny mentation sub-score; field consensus is course-modification not clearly shown",equivocal; motor not cognitive,"Olanow 2009 NEJM (ADAGIO)"
guanfacine,symptomatic,randomized_discontinuation,transient,no,,"selective alpha-2A agonist (Arnsten) - guanfacine-ER shows rapid relapse off-drug in randomized discontinuation; a real symptomatic effect that reverses",symptomatic,"guanfacine-ER discontinuation studies"
ibufenac,not_applicable,class_extrapolation,transient,no,,"NSAID with NO established symptomatic pro-cognitive effect; the ADAPT RCT tested naproxen / celecoxib (NOT ibufenac) and was negative / trended harmful - this is NSAID-class extrapolation, not a per-compound result; ibufenac itself was withdrawn for hepatotoxicity",not a cognition agent; class inference; withdrawn drug,"ADAPT (Martin 2008) - class-level only"
fenoprofen,not_applicable,class_extrapolation,transient,no,,"NSAID with no established cognition effect; ADAPT (naproxen / celecoxib) was negative - NSAID-class extrapolation, not a fenoprofen trial",not a cognition agent; class inference,"ADAPT (Martin 2008) - class-level only"
neostigmine,not_applicable,mechanistic_inference,transient,no,,"quaternary-ammonium AChE inhibitor; permanent positive charge - does not cross the blood-brain barrier",no central action,"quaternary-amine BBB exclusion"
distigmine,not_applicable,mechanistic_inference,transient,no,,"bis-quaternary AChE inhibitor; BBB-impermeant",no central action,"pharmacology"
demecarium,not_applicable,mechanistic_inference,transient,no,,"bis-quaternary ophthalmic AChE inhibitor; BBB-impermeant",no central action,"pharmacology"
difelikefalin,not_applicable,mechanistic_inference,transient,no,,"peripherally-restricted kappa-opioid agonist, engineered not to cross the BBB",no central action,"label / pharmacology"
codeine,cognition_negative,longitudinal_followup,transient,no,,"mu-opioid agonist; chronic exposure is associated with cognitive impairment plus tolerance / dependence",safety inversion,"opioid cognition literature"
dihydrocodeine,cognition_negative,longitudinal_followup,transient,no,,"mu-opioid agonist; chronic use impairs cognition",safety inversion,"opioid cognition literature"
hydrocodone,cognition_negative,longitudinal_followup,transient,no,,"mu-opioid agonist; chronic use impairs cognition",safety inversion,"opioid cognition literature"
oxycodone,cognition_negative,longitudinal_followup,transient,no,,"mu-opioid agonist; chronic use impairs cognition",safety inversion,"opioid cognition literature"
piperidolate,cognition_negative,mechanistic_inference,transient,no,,"antimuscarinic antispasmodic; chronic anticholinergic burden is linked to higher dementia risk",opposes cognition,"Gray 2015 JAMA Intern Med"
hydroxyzine,cognition_negative,mechanistic_inference,transient,no,,"sedating first-generation antihistamine with anticholinergic activity",sedating; the 'wake_promoting' route was structural,"pharmacology"
felbamate,not_applicable,mechanistic_inference,transient,no,,"antiepileptic (black-box aplastic anaemia / hepatic failure); not a wake-promoting agent",routing artifact; serious toxicity,"label"
acrisorcin,not_applicable,mechanistic_inference,transient,no,,"topical antifungal; not a systemic CNS agent",routing artifact,"label"
mexiletine,not_applicable,mechanistic_inference,transient,no,,"class-IB antiarrhythmic (sodium-channel blocker); no cognition mechanism",routing artifact,"pharmacology"
mephenesin,not_applicable,mechanistic_inference,transient,no,,"obsolete short-acting muscle relaxant",routing artifact,"pharmacology"
prenylamine,not_applicable,mechanistic_inference,transient,no,,"antianginal, withdrawn for torsades risk",routing artifact; withdrawn drug,"pharmacology"
