identifier,registry,lane,ledger_compound,intervention,population,n,primary_cognitive_outcome,registry_status,expected_readout,prediction,pred_g,pred_ci_lo,pred_ci_hi,prediction_basis,prediction_reason,endpoint_tier,prediction_date,rule_committed_at,status,actual_outcome,url
CRD42024549774,PROSPERO,cholinergic,,"Any natural nootropic intervention, including individual compounds and combined multiple-compound supplements. IMPORTANT EXCLUSION, verbatim from the record: supplements not commercially available to the public, and prescription-only compounds, with donepezil and galantamine named as exclusions by name. Cholinergic relevance is therefore indirect but real — over-the-counter cholinergics (citicoline, alpha-GPC, huperzine A) fall inside the inclusion criteria, and the registration names acetylcholine as a mechanism of interest, but no specific compound is named as included.",Cognitively and physiologically healthy adults aged 18 or over; excludes any reported physiological or cognitive disorder likely to influence cognitive test scores. My judgement: unambiguously restricted to healthy adults — one of only two registered reviews in this lane that is.,Not stated (systematic review and meta-analysis; no target number of included studies or pooled participants given),"Measures of working memory and cognitive abilities, assessed by a series of distinct cognitive tests, using means and standard deviations for accuracy and reaction time pre- versus post-intervention. Objective performance measures only; MeSH terms on the record include Cognition, Nootropic Agents and Reaction Time.","The review is currently planned or ongoing. Stage checkboxes show pilot work, formal searching and screening all started and completed; data extraction, risk-of-bias assessment and data synthesis not yet complete. Version 1.0 published 03 Jul 2024, PublicationStatus 'Registered'.","Review timeline states 'Start date: 03 February 2024. End date: 30 September 2025'. Registered 03 July 2024, first submitted 02 July 2024. The stated end date has already passed while the record still reads planned or ongoing, so the readout is overdue and undated rather than scheduled.",ABSTAIN,,,,not_mapped,"'any natural nootropic', individual and combined; scope is not a compound",primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD42024549774
CRD420250627818,PROSPERO,reviews,,"Carotenoid supplementation — beta-carotene, lycopene, lutein, zeaxanthin — versus placebo. Randomized clinical trials, any country, any setting.","MIXED — flagging explicitly. Stated as 'Healthy population of any age who may include those with subjective cognitive decline.' Subjective cognitive decline is outside this project's healthy-adult rule, and the record does not commit to reporting the SCD-free subgroup separately. Also 'any age', so not adults-only. Include only with these caveats.",not stated (systematic review; no target number of included studies given),"'scores from standardized and validated cognitive assessment tests that evaluate various cognitive domains such as memory, attention, and processing speed' — objective performance testing, with attention and memory performance named in the eligibility block.",Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'Amending' — actively being revised),"Registered 15 June 2025. Stated review start date 15 April 2025, end date 31 July 2025 — end date long PASSED while status remains Ongoing and the record is still being amended. PubMed shows no 2025-2026 carotenoid x cognition meta-analysis.",ABSTAIN,,,,not_mapped,carotenoids; no ledger row,primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420250627818
CRD420251208498,PROSPERO,nutraceutical,,Blueberry supplementation. Registry Intervention[IV] field confirmed to contain 'blueberry'. Dose/duration not readable from the fields I could query.,"Cognitively healthy adults. Judgement: healthy adults. Population[PA] field confirmed to contain both 'healthy' and 'adults'; it also contains 'dementia', which in context is almost certainly an exclusion statement - I could not read the field verbatim to confirm that, so I am flagging it rather than asserting it.",not stated,"Field-scoped queries confirm the Main outcomes[OP] field contains memory, attention and executive (function); specific instruments not readable from the index.",Ongoing,No anticipated completion date readable. PROSPERO registration date (RIS DP field) 18/03/2026; review status Ongoing as of this session; within the registry's 'last 6 months' bucket.,ABSTAIN,,,,not_mapped,no mapping recorded for this registration,primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420251208498
CRD420261307872,PROSPERO,reviews,,"Single-dose acute administration of methylphenidate or modafinil, any dosage and route, versus placebo. Chronic/repeated dosing, combination pharmacotherapy and non-pharmacological enhancement (training, brain stimulation, dietary supplements) all excluded.","Healthy adults — 'healthy adult participants (≥18 years old) without diagnosed psychiatric or neurological disorders'; ADHD and narcolepsy explicitly excluded. HEALTHY ADULTS: yes, clean.",not stated (systematic review; no target number of included studies given),"Spatial working memory performance operationalized as error rate, from computerized paradigms including CANTAB Spatial Working Memory and spatial N-back. Synthesized as Hedges' g under a random-effects model with prediction intervals; GRADE applied.",Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'Amending' — record is being actively revised),"Registered 23 February 2026. Stated review start date 22 February 2026, end date 30 May 2026 — end date has PASSED while status remains Ongoing, i.e. completed-but-unpublished. Independently cross-registered on OSF Registries as https://osf.io/frqne/ (registered 2026-02-22).",ABSTAIN,,,,not_mapped,review pools methylphenidate AND modafinil; not a single-compound estimate,primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420261307872
CRD420261324802,PROSPERO,reviews,,"Acute (single-dose) administration of methylphenidate, dextroamphetamine, lisdexamfetamine, atomoxetine, or modafinil. Dose unrestricted; chronic/repeated dosing explicitly excluded. Caffeine, antidepressants, antipsychotics and natural substances explicitly excluded.","Healthy adults — 'Adults with no record of psychiatric disorder or drug abuse'. HEALTHY ADULTS: yes, clean. Registration states the meta-analysis is 'focused exclusively on healthy individuals'.",not stated (systematic review; no target number of included studies given),"Objective working-memory task performance: N-Back, Digit Span, Spatial Working Memory, Sternberg Task, Rapid Information Processing Task. Metrics: accuracy, correct/incorrect responses, reaction time. Pooled as Cohen's d / Hedges' g.",Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'live'/'Stable'),"Registered 05 March 2026. Stated review start date 23 February 2026, end date 23 November 2026. Last published version is VersionID 2.",ABSTAIN,,,,not_mapped,review pools five stimulants; not a single-compound estimate,primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420261324802
CRD420261356864,PROSPERO,reviews,,"Antipsychotic drug administration versus placebo in randomized trials. Framed by the authors around off-label use, Phase I drug development and preoperative sedation.","Psychiatrically healthy adults — '≥18 years; confirmed absence of psychiatric diagnosis by structured interview (MINI, SCID) or equivalent; no current psychotropic medication; no history of psychotic disorder, bipolar I disorder, or dementia'. HEALTHY ADULTS: yes, and unusually rigorously operationalized.",not stated (systematic review; no target number of included studies given),"Performance on validated cognitive tests across all seven MATRICS consensus cognitive domains plus a composite cognitive score. Domain scores: speed of processing; attention/vigilance; working memory; verbal learning & memory; visual learning & memory; reasoning & problem solving; social cognition. Objective sedation measures (critical flicker fusion, saccadic eye movement velocity) also captured.",Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'Stable'),"Registered 31 March 2026 (record dated 01 April 2026). Stated review start date 31 March 2026, end date 1 September 2026 — end date has just PASSED while status remains Ongoing. PubMed shows no matching publication.",ABSTAIN,,,,not_mapped,antipsychotics; no ledger row and not an enhancement question,primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420261356864
CRD420261488583,PROSPERO,reviews,,Acute caffeine intake versus placebo or non-caffeine control. Randomized trials only.,"Healthy adults — '18 years or older, regardless of sex, training or athletic status, or habitual caffeine consumption. Participants must be free from diagnosed medical, neurological, or psychiatric conditions that may materially affect cognitive performance.' Clinical populations and mixed-age samples that cannot be separated are excluded. HEALTHY ADULTS: yes, clean.",not stated (systematic review; no target number of included studies given),"Executive function overall and across three core domains (inhibitory control, working memory, cognitive flexibility/set shifting), classified per the Diamond framework. Measures: response accuracy, error rates, reaction time, interference effects, working-memory performance, switching/set-shifting costs.",Ongoing (PROSPERO reviewstatus 'Ongoing'; PublicationStatus 'Registered'; editing status 'Stable'),"Registered 28 August 2026 (record dated 29 August 2026). Stated review start date 28 August 2026, end date 20 October 2026 — the nearest FUTURE stated readout in this lane, one month out.",ABSTAIN,,,,not_mapped,no mapping recorded for this registration,primary,2026-09-20,2baedf8,PENDING,,https://www.crd.york.ac.uk/PROSPERO/view/CRD420261488583
ISRCTN66268301,ISRCTN,nonus,,"Three parallel arms, all on an exercise and diet intervention, supplements in stick packs twice daily for 12 weeks: (1) double placebo; (2) guanidinoacetic acid 2 g/day + creatine placebo; (3) guanidinoacetic acid 2 g/day + creatine monohydrate 10 g/day.","Male or female aged 45 to 75 years; registry field ""Healthy volunteers allowed: true""; no cognitive, neurological or disease inclusion criterion. Judgement: HEALTHY ADULTS (middle-aged to older) — clean. Note this is a compound-plus-lifestyle-intervention design, not compound alone.",75 actual enrolled against a target of 200 (substantially under-enrolled),"""Cognitive Function - COMPASS cognitive function test battery - 0 weeks (baseline), 6 weeks (1st follow-up), 12 weeks (2nd follow-up)"". Listed alongside body weight, DXA fat mass, percent body fat and waist-to-hip as co-primaries.","Recruitment closed — recruitment ran 08 September 2025 to 08 March 2026. No results or publications documented; data policy states ""Not expected to be made available"". Record last updated 20 November 2025.",Overall trial end date 08 June 2026 — i.e. the stated end date has already passed as of today (20 Sep 2026) with nothing published.,ABSTAIN,,,,not_mapped,all arms on an exercise and diet intervention; compound not isolable,primary,2026-09-20,2baedf8,PENDING,,https://www.isrctn.com/api/query/format/default?q=ISRCTN66268301
ISRCTN75484092,ISRCTN,nonus,,"Four-group randomised double-blind placebo-controlled parallel design, 60 days: PoZibio (heat-treated Lactobacillus paracasei D3.5) capsules, Cerbella soft gels (fish oil, ginseng, green tea extract), both, or double placebo.","Healthy middle-aged and older adults, age 55+ years, able to consent and attend centre visits. Judgement: HEALTHY ADULTS — clean; the title itself specifies healthy middle-aged and older adults and no cognitive-impairment criterion is applied.",117 actual enrolled against a target of 120,"""Cognitive Control (Selective attention, response inhibition and processing speed) measured using the Stroop Task in EPrime"" and ""Working memory and mental flexibility, measured using the NBack Task in EPrime"", with EEG event-related potentials (N2, P3, LPC) as further co-primaries.","Registry shows the record at ""Protocol"" stage with no results; recruitment 08 September 2024 to 31 May 2025 (earlier record text gives a Sept 2023 to Aug 2025 window). Primary outcome wording current as of 27 October 2025.","Overall trial end date 31 August 2025 — already passed, with the record still showing protocol stage and no publication.",ABSTAIN,,,,not_mapped,four-arm design; registration does not isolate a single compound,primary,2026-09-20,2baedf8,PENDING,,https://www.isrctn.com/api/query/format/default?q=ISRCTN75484092
ISRCTN85608856,ISRCTN,cholinergic,,"Six weeks of omega-3 fatty acids plus curcumin plus citicoline, with and without creatine monohydrate and guanidinoacetic acid, versus maltodextrin placebo. Individual ingredient doses are not stated in the registry fields I retrieved, so no dose should be assumed. CAVEAT: citicoline is one of three or five co-administered compounds and its contribution cannot be isolated.","Healthy volunteer adults aged 18 to 65 years (healthyVolunteersAllowed = true, age range 18-65, all genders). Exclusions include diagnosed cognitive impairment or neurological disease, uncontrolled cardiometabolic disease, medically treated major psychological or depressive disorder, B12/B6/folate deficiency and homocysteine above 50 μmol/L. My judgement: healthy adults, with an unusually thorough screen that removes the subclinical-deficiency cases where choline precursors most plausibly help — which arguably biases the trial toward a null.",150 (target enrolment); totalFinalEnrolment currently 0,"Cognitive Function measured with the COMPASS cognitive function test battery at 0 weeks (baseline) and 6 weeks (follow-up). The battery comprises immediate and delayed word recall, delayed word recognition, delayed picture recognition, the Corsi blocks task and digit span. Note that body weight, waist-to-hip circumference and DXA body composition are listed as co-primary outcomes alongside cognition.","The ISRCTN record returned by the registry's default API format carries no recruitment-status string, and the alternate API formats returned HTTP 400, so I am reporting dates rather than a status word. The record states recruitment start 2026-06-01 and recruitment end 2027-06-01, and was last updated 2026-06-04 (version 10, isPublished true).",Overall end date 2027-08-31; recruitment ends 2027-06-01; record last updated 2026-06-04. This is the longest-dated readout in the lane.,ABSTAIN,,,,not_mapped,omega-3 plus curcumin plus citicoline; no single compound isolable,primary,2026-09-20,2baedf8,PENDING,,https://www.isrctn.com/ISRCTN85608856
