study,compound,paired_experience,population,outcome_domain,retention_interval,off_drug_at_readout,direction,effect_value,effect_metric,effect_smd_like,n_randomised,design,replicated,verification,notes,pmid_doi
rokem_silver_2013,donepezil,1,healthy_adults,perceptual_learning_motion,5-15_months,1,positive,0.78,between_group_d_derived_from_reported_SEMs,0.78,8.0,within_subject_double_blind_counterbalanced,0,CONFIRMED,"THE existence proof. n=8 returners of 12. p=0.036 signed-rank on PERCENT learning normalised to each arm's own pre-training baseline. CRITICAL: placebo arm ALSO retained learning and absolute thresholds CONVERGED (7.4 vs 7.3 deg); near-significant baseline imbalance (rank p=0.05, one subject z=2.42) mechanically inflates a baseline-normalised gain. Shows training produced durability and drug scaled its normalised magnitude. d derived from reported SEMs 4.6/6.9 at n=8 -> SDs ~13.0/19.5, diff 12.9.",PMID:23755006
shellshear_2015,levodopa,1,healthy_adults,word_learning_recognition,1_month,1,positive_conditional,,effect_size_unobtainable_paywall,,,parallel_group,0,CONFIRMED_EFFECT_UNOBTAINABLE,Recognition advantage for SEMANTICALLY-DESCRIBED items only; recall null. Authors call it preliminary. Textbook multiplicity signature. Effect size could not be obtained (publisher 403).,10.1002/hup.2480
chamoun_2017,donepezil,1,healthy_adults,3d_multiple_object_tracking,4-14_months,1,positive_preliminary,,within_arm_only_no_between_group_contrast,,9.0,randomised_double_blind_placebo,0,CONFIRMED,"NOT a third existence proof: donepezil +86% (p=0.043) vs control +45% (p=0.068) is a DIFFERENCE OF SIGNIFICANCES, not a significant difference. No between-group contrast reported. n=9 at follow-up. Authors label preliminary.",PMC5359296
walker_batson_dexamphetamine,dexamphetamine,1,stroke_patients,motor_recovery,post_therapy,0,positive_fragile,,,,21.0,randomised_placebo_physical_therapy,0,UNVERIFIED_IN_PAYLOAD,Founding amphetamine+rehab result; fails multiplicity correction per lane summary. Patient population (restoration not enhancement).,UNVERIFIED
ssri_amblyopia_meta,ssri_various,1,amblyopia_patients,visual_acuity,post_treatment,0,positive_subclinical,0.09,logMAR_improvement,,,meta_analysis,1,UNVERIFIED_IN_PAYLOAD,+0.09 logMAR is below the ~0.1 logMAR clinical-significance threshold. Different metric (logMAR) - NOT commensurable with SMD. Patient population.,UNVERIFIED
gilleen_2014,modafinil,1,healthy_adults,cognitive_training_transfer,post_training,1,no_effect_level,0.84,AUC_learning_RATE_not_level,,,randomised_placebo_10_sessions,0,UNVERIFIED_IN_PAYLOAD,"DECISIVE NEGATIVE for the reframe: bought learning RATE (AUC 24.7 vs 12.3, ES 0.84) but placebo CAUGHT UP by the last day; no group difference in retention decay (F=0.2 p=0.65); ZERO transfer to MCCB/Cogstate. A pipeline scoring the learning curve would manufacture a rate effect and misread it as durability.",UNVERIFIED
dcycloserine_ipd_meta,d_cycloserine,1,anxiety_patients,exposure_therapy_symptoms,follow_up,1,no_effect_at_followup,0.19,hedges_g_at_followup_CI_crosses_zero,0.19,1047.0,ipd_meta_analysis_21_rcts,1,UNVERIFIED_IN_PAYLOAD,THE PUREST TEST of drug x experience: DCS is inert alone and acts only when paired with the learning session. Peak d=0.25 post-treatment decaying to 0.19 with CI crossing zero at follow-up. d~0.25 sits INSIDE the project's acute ceiling 0.10-0.35 -> pairing bought ZERO effect-size headroom.,UNVERIFIED
focus_affinity_effects,fluoxetine,1,stroke_patients,motor_recovery,12_months,0,no_effect,0.03,SMD_cochrane_pooled_motor,0.03,5907.0,three_prereg_rcts_plus_cochrane,1,UNVERIFIED_IN_PAYLOAD,"THE SCALE FAILURE. FLAME (n=118, measured ON DRUG at day 90 - it never contained post-washout evidence) went to cOR 0.96 [0.87-1.05] across n=5907; Cochrane 2021 motor SMD 0.03 at HIGH GRADE certainty. AFFINITY 12-month timepoint (6 months after cessation) cOR 0.93.",UNVERIFIED
dars_dopamine_rehab,levodopa,1,stroke_patients,motor_recovery,post_therapy,0,negative,0.78,odds_ratio_favouring_placebo,,593.0,randomised_placebo_rehab,1,UNVERIFIED_IN_PAYLOAD,OR 0.78 FAVOURING PLACEBO. Dopaminergic arm of the drug+rehab programme.,UNVERIFIED
levodopa_patching_amblyopia,levodopa,1,amblyopia_patients,visual_acuity,post_treatment,1,no_effect,,,,139.0,randomised_placebo_patching,1,UNVERIFIED_IN_PAYLOAD,Null. Patient population.,UNVERIFIED
vortioxetine_cognitive_training,vortioxetine,1,depression_patients,cognitive_composite,26_weeks,0,no_effect_at_endpoint,0.21,hedges_g_decayed_from_0.57,0.21,100.0,randomised_placebo_plus_training,0,UNVERIFIED_IN_PAYLOAD,"The one well-designed drug x training augmentation trial that reported: d=0.57 advantage DECAYED to d=0.21 by week 26 WHILE STILL ON DRUG, and washout was never tested.",PMID:32212856
rucker_psilocybin_2022,psilocybin,0,healthy_adults,cantab_global_composite,29_days,1,no_effect,0.0,null_on_designed_endpoint,0.0,89.0,randomised_placebo_25_10mg,0,CONFIRMED,"BEST-DESIGNED drug-ALONE post-washout test in healthy people. CANTAB global composite AND every domain null at day 29, with cognition as a DESIGNED endpoint (not exploratory).",PMID:35090363
esketamine_washout,esketamine,0,patients,cognition,post_washout,1,no_effect,,,,,washout,0,UNVERIFIED_IN_PAYLOAD,Null post-washout cognitive readout.,UNVERIFIED
ache_inhibitor_washout,donepezil_galantamine,0,patients,cognition,post_discontinuation,1,no_effect,,,,,discontinuation,1,UNVERIFIED_IN_PAYLOAD,"Symptomatic class: benefit real on-drug, lost on discontinuation. Consistent with persistence_axis_classes.csv 'symptomatic' status.",UNVERIFIED
stimulant_discontinuation,methylphenidate_guanfacine,0,patients,cognition,post_discontinuation,1,no_effect,,,,,discontinuation,1,UNVERIFIED_IN_PAYLOAD,Symptomatic class: reverses on washout. MTA 36-month class-level discontinuation relapse.,UNVERIFIED
