compound,smiles,scaffold_class,trapping_class,blocks_resting_nmdar,use_dependence,durable_rapid_antidepressant,window_verdict,pmid,note
ketamine,CNC1(c2ccccc2Cl)CCCCC1=O,arylcyclohexylamine,full_trapping,yes,moderate,established,WINDOW,PMID:24912158,blocks resting NMDARs in physiological Mg2+ -> BDNF (Gideons 2014); single-dose effect ~1 week then relapse
esketamine,CNC1(c2ccccc2Cl)CCCCC1=O,arylcyclohexylamine,full_trapping,yes,moderate,established,WINDOW,PMID:24912158,"S-enantiomer (Spravato); resting-block read-across from ketamine, not a direct per-compound mEPSC measurement"
arketamine,CNC1(c2ccccc2Cl)CCCCC1=O,arylcyclohexylamine,full_trapping,yes,moderate,preclinical_only,WINDOW,PMID:24912158,R-enantiomer; longer-lasting preclinical. WEAKEST WINDOW call: trapping/resting are read-across and mechanism is argued partly NMDAR-independent - a conservative reviewer could move it to ABSTAIN
memantine,CC12CC3CC(C)(C1)CC(N)(C3)C2,aminoadamantane,partial_trapping,no,high,established_negative,NEGATIVE,PMID:24912158,"spares the resting pool (Gideons 2014); no MDD efficacy (Zarate 2006, qualitative) - the pre-registered NEGATIVE"
amantadine,NC12CC3CC(CC(C3)C1)C2,aminoadamantane,partial_trapping,no,high,not_studied,NEGATIVE,PMID:9120573,aminoadamantane like memantine; resting-block read-across; not a durable rapid antidepressant
hydroxynorketamine,NC1(c2ccccc2Cl)CCCC(O)C1=O,arylcyclohexylamine,low_trapping,unknown,low,contested,ABSTAIN,PMID:30796190,target contested across verified papers (Zanos NMDAR-independent / Suzuki NMDAR-dependent / Lumsden no-block); abstain
nitrous oxide,[N-]=[N+]=O,gas,low_trapping,unknown,moderate,not_studied,ABSTAIN,PMID:9546794,fast/easily-reversible block (not ketamine-like trapping); durability unestablished
dextromethorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,morphinan,low_trapping,unknown,moderate,contested,ABSTAIN,PMID:17848867,"chronically dosed, multi-target (sigma-1, SERT/NET); resting-block unmeasured; not a clean single-dose durability story"
phencyclidine,c1ccc(C2(N3CCCCC3)CCCCC2)cc1,arylcyclohexylamine,full_trapping,unknown,high,not_studied,ABSTAIN,PMID:2448800,full trapper but not a therapeutic; resting-block unmeasured; durability not studied
dizocilpine,CC12NC(Cc3ccccc31)c1ccccc12,dibenzocycloheptenamine,full_trapping,unknown,high,not_studied,ABSTAIN,PMID:2448800,MK-801 research tool; resting-block unmeasured; durability not studied
lanicemine,NC(Cc1ccccn1)c1ccccc1,other,low_trapping,no,high,established_negative,NEGATIVE,PMID:24126931,low-trapping (AZD6765; ket 86% vs lanicemine 54% trapping); phase 2b failed (PMID 27681442) - a second mechanistic NEGATIVE control
