hypothesis_id,claim,domain,verdict,died_on,killed_by,evidence,failure_mode,keystone,keystone_predicate,revival_test,status
H-4mu-durability,4-methylumbelliferone produces DURABLE cognitive gain by thinning perineuronal nets.,trash-can candidate,REFUTED,2026-09-20,reports/pipeline/trash_can_candidates_2026-09.md; source Dubisova 2022,"Dubisova 2022 (PMID 35066096) is the only study that measured the washout, and it dissociates the biomarker from the behaviour: the memory-enhancing effect did not persist 1 month after treatment ended and the SOR score returned to pre-treatment values, WHILE THE PNN REDUCTION DID PERSIST. That is this project's binding constraint failing on the mechanism's own home assay. Regimen was 5 percent w/w chow, about 6.7 mg/g/day, for six months in mice. The mechanism is also misdescribed as PNN degradation: 4-MU inhibits hyaluronan SYNTHESIS. No study measures 4-MU in brain or CSF, and no registered hymecromone trial carries a cognitive or CNS endpoint.",unknown_precision,"The washout result is a point comparison with no interval reported, so it cannot formally exclude a smaller durable effect. Recorded as imprecise rather than as a refutation, which is the conservative reading. The dissociation it shows is the load-bearing part and does not depend on the interval.",durable_healthy_rows(1),"Only if a verified durable healthy-adult row appears anywhere, at which point re-examine whether an ECM mechanism is implicated.",DEAD
H-B1-pairing,Durable cognitive gain is a drug-by-experience interaction: pairing a compound with training produces post-washout gain that the compound alone does not.,PERSEUS/durability,KILLED,2026-07-28,scripts/124_paired_experience_contrast.py -> paired_experience_contrast_v1.md,"n-weighted contrast (paired - unpaired) = -0.071, permutation p = 0.2692, 15 studies; at n >= 25 only: -0.076, p = 0.3345, 6 studies. Point estimate points the WRONG WAY. Largest n among any positive-direction study = 21.",underpowered,"Six studies at n >= 25 cannot resolve a between-study contrast. The pattern that decided it (every positive came from a small study) is the signature of a small-study effect, which is a reason to distrust the positives AND a reason the contrast itself is unresolved. The hypothesis was not refuted; the test could not see.","paired_studies_at_n(25, 15)",Re-run scripts/124 once 15 or more paired studies at n >= 25 are curated. Pre-register the contrast direction again before looking.,DEAD
H-B2-signflip-rate,"The rate at which a compound's plasticity-window sign flips between assay families is estimable, and is at or above the 30% threshold that would condemn compound-level window scoring outright.",PERSEUS/L4,ABSTAINED,2026-09-15,scripts/125_window_assay_index.py -> window_assay_index_v1.md,"Measured 25% (1 of 4). Donepezil does flip (ocular_dominance negative, perceptual_learning positive; Sheynin 2019 PMID 30766471, t(11) = -4.9, p < 0.001), so the phenomenon is real. But only 4 compounds carry a SIGNED direction in two or more families, so the RATE is not estimable. The L4 kill came from the permutation gate instead, not from this test.",underpowered,"The field rarely measures two plasticity readouts in the same subjects, so the cross-assay question is mostly unanswerable from the published literature as indexed. Four compounds is not a rate.",assay_family_signed_compounds(12),Re-run the sign-consistency arm of scripts/125 at 12 or more signed multi-family compounds and report the rate with an interval.,DEAD
H-B3-ndcg-prediction,Adding paired_training_washout_retest to EVIDENCE_RANK would raise ranking NDCG@25 from 0.8912 to approximately 0.9117.,meta/self-prediction,RETRACTED,2026-07-28,scripts/47 re-run; recorded in docs/PREREG_DEVIATIONS_2026-06.md,"Measured NDCG@25 = 0.8716. The number went DOWN, not up. The hypothesis under test still passes; the PREDICTION ABOUT IT was wrong and was retracted in the deviations ledger rather than quietly restated.",mechanism_contradicted,,,,PERMANENTLY_CLOSED
H-L4-ibogaine,"Ibogaine is plasticity-window positive (serotonergic scaffold, TPSA 28, HBD 1, clears the intracellular-access gate).",PERSEUS/L4,REFUTED,2026-09-15,scripts/125_window_assay_index.py; primary source Ly 2018 Cell Rep,Ly 2018 (PMID 29898390) measured NO structural-plasticity effect for ibogaine itself and identified noribogaine as the active species. L4 calls it positive on the parent's descriptors. This is L4's only in-scope error in its home family.,instrument_blind,"Ibogaine is absent from PRODRUG_TO_ACTIVE, so the parent is scored. Psilocybin is present, which is exactly why psilocybin is a hit and ibogaine is not. The map's coverage IS the protection, and it was written by hand.",prodrug_resolution_covers(ibogaine),Re-score ibogaine through L4 once noribogaine resolution exists; the window call should flip to negative for the parent.,DEAD
H-L4-window-verdict,"The L4 structural psychoplastogen screen identifies compounds that open a plasticity window, and that call is strong enough to carry a persistence verdict on its own.",PERSEUS/L4,DEMOTED,2026-09-15,scripts/125_window_assay_index.py -> window_assay_index_v1.md,"On dendritic_spine, the family the rule was derived from and the only testable one: agreement 0.50 at permutation p = 1.000 against 48 curated (compound, assay) rows. The family base rate is 5 openers of 6, so a constant 'always opener' scores 0.83. In ocular_dominance, perceptual_learning and tms_ltp the screen predicts a constant (zero positives).",instrument_blind,"Two different blindnesses, and only one is a defect. The screen is serotonergic by construction, so having no opinion about cholinergic, SSRI, GABAergic and ECM-degrading compounds is scope, not error. The defect is that it scores the administered molecule when the biology is done by the metabolite, and the protection against that is a three-entry hand-written map.",metabolite_prediction_available(),Re-run scripts/125 once a general metabolite predictor replaces PRODRUG_TO_ACTIVE. The screen may be re-promoted only if it beats the permutation gate in at least one family on that footing.,DEAD
H-R1-power-confound,The healthy-adult stimulant gate is a power artifact: a predictor knowing only how heavily a compound was studied matches or beats it.,healthy-adult axis,REFUTED,2026-07-28,scripts/121_healthy_adult_robustness.py on the expanded n=19 ledger,"At n = 11 the n_studies power proxy reached AUROC 0.88. On the expanded n = 19 primary set it collapsed to 0.59 (permutation p = 0.2835), while the stimulant gate strengthened to p = 0.018 and survived the l-theanine sensitivity (p = 0.046, previously 0.176). The confound was real at n = 11 and is not real at n = 19.",underpowered,"This entry is the archive's own cautionary tale: a finding generated at n = 11, published, and then refuted by more data. It is recorded as a kill of the FINDING, not of the gate.","ledger_rows_at_least(healthy_adult_cognition_ledger.csv, 60)",Re-run scripts/121 at a materially larger ledger. A confound that vanished between n=11 and n=19 may return; it is not settled either way.,DEAD
H-alphagenome-fit,"The AlphaGenome family (AlphaGenome, AlphaMissense, AlphaFold3) addresses one or more of this project's measured gaps.",external systems,KILLED,2026-09-15,reports/pipeline/external_systems_review_2026-09.md,"Addresses NONE of the four measured gaps. G1, G3 and G4 are human-phenotype MEASUREMENT problems; no variant-effect predictor at any accuracy produces a row of durable-cognition ground truth. G2 is the one gap where a structural model is the right category, and AlphaGenome is not a structural model.",wrong_endpoint,"One narrow legitimate use survives: Cluster D's variant-to-gene mapping, which the project has already measured as at chance for predicting trial success. The payoff is bounded by how much of Cluster D's failure is attributable to that step, and nothing measures that yet.",cluster_d_v2g_attribution_measured(),Only if Cluster D's variant-to-gene step is independently shown to be the binding constraint WITHIN Cluster D.,DEAD
H-dihexa-healthy,"Dihexa enhances cognition in healthy adults via HGF/c-Met-driven synaptogenesis, at far lower concentrations than BDNF.",trash-can candidate,REFUTED,2026-09-20,reports/pipeline/trash_can_candidates_2026-09.md,"The mechanism does not operate on an undamaged substrate. ADDF Cognitive Vitality, verbatim: Dihexa did not improve cognitive functions in rats with normal cognition, and the HGF/c-Met system is not engaged during normal learning under healthy conditions. Separately the founding mechanism paper (Benoist 2014, PMID 25187433) was RETRACTED 2025-04-29 after a Washington State University investigation found image manipulation, and four papers from that lab carry Expressions of Concern (JPET 2021;378(3):311-314). The seven-orders-of-magnitude potency figure comes from a 2012 press release; the two were never directly compared. Zero human data exist. The mechanism WAS tested at scale via the successor fosgonimeton: 5 registered trials, about 1,090 participants.",mechanism_contradicted,,,,PERMANENTLY_CLOSED
H-gervain-absolute-pitch,"Valproate reopened a critical period for absolute-pitch acquisition in healthy adult men, and is the field's precedent for drug-induced durable human learning.",durability precedent,REFUTED,2026-07-28,research verification pass -> REJECT_MISDESCRIBED,"Gervain 2013 (PMID 24348349): on-drug readout only, arm-1-only analysis, blind penetrated in 17 of 18 participants, and DURABILITY WAS NEVER ASSESSED. The most-cited precedent for the project's central claim does not test the claim.",wrong_endpoint,Nobody has measured whether the learning persists off drug. The study cannot be repaired by re-reading it; the measurement was not taken.,durable_healthy_rows(1),"If any verified off-drug healthy-adult positive row appears, re-examine whether a valproate-plus-training design is the right replication target.",DEAD
