gene_symbol,uniprot_accession,chembl_target_id,target_class,liability_category,severity_tier,cut_threshold_pki,flag_threshold_pki,direction_sensitivity,cognition_context_rationale
HTR2B,P41595,CHEMBL1833,GPCR,cardiotox_valvulopathy,1,6.5,5.5,agonist,"Fenfluramine 1997 / pergolide 2007 / benfluorex 2009 - VIC fibrosis; Dumotier 2024 framework: >10x Cmax/Ki margin using binding Ki"
KCNH2,Q12809,CHEMBL240,ion_channel,cardiotox_TdP,1,6.0,5.5,either,"ICH S7B anchor; cisapride/terfenadine/astemizole withdrawals; cross-checks ADMET-AI hERG head"
OPRM1,P35372,CHEMBL233,GPCR,abuse_potential,1,6.0,5.0,either,"DEA scheduling concern; respiratory depression liability; binding alone sufficient for FDA flag"
HRH1,P35367,CHEMBL231,GPCR,cognitive_impairment_anticholinergic,1,7.0,6.0,antagonist,"Anticholinergic burden in healthy adults degrades the very endpoint we're enhancing; Gray 2015 JAMA Intern Med dementia HR=1.54; Coupland 2019 JAMA Intern Med ~50% increased risk"
CNR1,P21554,CHEMBL218,GPCR,neurotox_psychiatric,1,6.5,5.5,either,"Rimonabant 2008 EU withdrawal; CRESCENDO Topol 2010 Lancet 32% neuropsych AEs; depression/anxiety/suicidality"
CHRM1,P11229,CHEMBL216,GPCR,cognitive_impairment_antimuscarinic,1,7.0,6.0,antagonist,"M1 antagonism = anticholinergic decline (donepezil mechanism reversed); M1 agonism (KarXT) = procognitive - directionality critical"
CHRM3,P20309,CHEMBL245,GPCR,GI_xerostomia,2,,6.0,antagonist,"Peripheral M3 antagonism = xerostomia/urinary retention (oxybutynin)"
MAOA,P21397,CHEMBL1951,enzyme,hypertensive_crisis,1,7.0,6.0,irreversible_antagonist,"Blackwell 1967 cheese effect; irreversible dual MAO-A+B = CUT; RIMA FLAG only"
MAOB,P27338,CHEMBL2039,enzyme,DDI_sympathomimetic,2,,6.0,antagonist,"Selegiline-class; dual A+B = CUT; B-selective at low dose = OK"
ADRA1A,P35348,CHEMBL229,GPCR,orthostatic_hypotension,2,,6.0,antagonist,"Prazosin first-dose; aripiprazole liability"
ADRA1B,P35368,CHEMBL1867,GPCR,orthostatic_hypotension,2,,6.0,antagonist,"Vascular smooth muscle; paired with ADRA1A"
ADRA1D,P25100,CHEMBL223,GPCR,orthostatic_hypotension,2,,6.0,antagonist,"Same family; usually correlated with 1A/1B"
DRD2,P14416,CHEMBL217,GPCR,EPS_hyperprolactinemia_TD,2,,7.0,antagonist,"Chronic antagonism = parkinsonism, TD; aripiprazole partial-agonism is borderline"
DRD3,P35462,CHEMBL234,GPCR,impulse_control,2,,7.0,agonist,"Pramipexole/ropinirole pathological gambling / hypersexuality"
DRD4,P21917,CHEMBL219,GPCR,informational,3,,5.0,either,"Mechanism not characterized as definitive liability; CYP2D6 substrate relevance"
HTR1A,P08908,CHEMBL214,GPCR,feature_anxiolysis,3,,5.0,partial_agonist,"Buspirone/vortioxetine/vilazodone widely exploited; could be feature for cognition"
HTR2A,P28223,CHEMBL224,GPCR,psychotomimetic,2,,7.0,agonist,"Hallucinogenic at high occupancy; psilocybin context-dependent; pimavanserin antagonism class"
HTR2C,P28335,CHEMBL225,GPCR,weight_gain_cancer,2,,6.0,agonist,"Atypical antipsychotic weight gain; lorcaserin 2020 cancer withdrawal (Sharretts NEJM)"
HTR3A,P46098,CHEMBL1899,ion_channel,GI_nausea,2,,6.0,either,"Ondansetron antag is antiemetic and clinical; TC-5619 5-HT3 antag possibly beneficial"
