compound,expected_class,note
obatoclax,ablative_heldout,"pan-BCL2 BH3-mimetic NOT in the calibration anchors - tests held-out generalization of the senolytic (ablative) channel"
gossypol,ablative_heldout,"natural BH3-mimetic (AT-101); held-out"
sabutoclax,ablative_heldout,"pan-BCL2 BH3-mimetic (BI-97C1); held-out"
fisetin,senolytic_flavonoid,"flavonoid SENOLYTIC but NOT a BH3-mimetic - precision check: the DTI-BCL2 channel should NOT fire (flavonoid senolytics are caught by the L3 Tanimoto detector instead)"
quercetin,senolytic_flavonoid,"flavonoid senolytic (D+Q); not a direct BCL2 binder - precision check"
chidamide,capability_heldout,"HDAC inhibitor (tucidinostat) NOT in anchors - held-out capability channel"
givinostat,capability_heldout,"HDAC inhibitor; held-out"
tazemetostat,capability_heldout,"EZH2 methyltransferase inhibitor; held-out chromatin-writer probe"
galantamine,non_persistence,"AChE inhibitor / nAChR PAM - symptomatic, no persistence substrate; expect abstain"
rivastigmine,non_persistence,"AChE inhibitor - symptomatic; expect abstain"
atomoxetine,non_persistence,"NET inhibitor - symptomatic; expect abstain"
citalopram,non_persistence,"SSRI - expect abstain on the substrate channel"
lamotrigine,non_persistence,"Na-channel anticonvulsant - off-substrate; expect abstain"
